"NB_MUNICIPIO","SG_UNIDADE_FEDERACAO"
"Acrelândia - AC","AC"
"Assis Brasil - AC","AC"
"Brasiléia - AC","AC"
"Bujari - AC","AC"
"Capixaba - AC","AC"
"Cruzeiro do Sul - AC","AC"
"Epitaciolândia - AC","AC"
"Feijó - AC","AC"
"Jordão - AC","AC"
"Mâncio Lima - AC","AC"
"Manoel Urbano - AC","AC"
"Marechal Thaumaturgo - AC","AC"
"Plácido de Castro - AC","AC"
"Porto Acre - AC","AC"
"Porto Walter - AC","AC"
"Rio Branco - AC","AC"
"Rodrigues Alves - AC","AC"
"Santa Rosa do Purus - AC","AC"
"Sena Madureira - AC","AC"
"Senador Guiomard - AC","AC"
"Tarauacá - AC","AC"
"Xapuri - AC","AC"
"Água Branca - AL","AL"
"Anadia - AL","AL"
"Arapiraca - AL","AL"
"Atalaia - AL","AL"
"Barra de Santo Antônio - AL","AL"
"Barra de São Miguel - AL","AL"
"Batalha - AL","AL"
"Belém - AL","AL"
"Belo Monte - AL","AL"
"Boca da Mata - AL","AL"
"Branquinha - AL","AL"
"Cacimbinhas - AL","AL"
"Cajueiro - AL","AL"
"Campestre - AL","AL"
"Campo Alegre - AL","AL"
"Campo Grande - AL","AL"
"Canapi - AL","AL"
"Capela - AL","AL"
"Carneiros - AL","AL"
"Chã Preta - AL","AL"
"Coité do Nóia - AL","AL"
"Colônia Leopoldina - AL","AL"
"Coqueiro Seco - AL","AL"
"Coruripe - AL","AL"
"Craíbas - AL","AL"
"Delmiro Gouveia - AL","AL"
"Dois Riachos - AL","AL"
"Estrela de Alagoas - AL","AL"
"Feira Grande - AL","AL"
"Feliz Deserto - AL","AL"
"Flexeiras - AL","AL"
"Girau do Ponciano - AL","AL"
"Ibateguara - AL","AL"
"Igaci - AL","AL"
"Igreja Nova - AL","AL"
"Inhapi - AL","AL"
"Jacaré dos Homens - AL","AL"
"Jacuípe - AL","AL"
"Japaratinga - AL","AL"
"Jaramataia - AL","AL"
"Jequiá da Praia - AL","AL"
"Joaquim Gomes - AL","AL"
"Jundiá - AL","AL"
"Junqueiro - AL","AL"
"Lagoa da Canoa - AL","AL"
"Limoeiro de Anadia - AL","AL"
"Maceió - AL","AL"
"Major Isidoro - AL","AL"
"Mar Vermelho - AL","AL"
"Maragogi - AL","AL"
"Maravilha - AL","AL"
"Marechal Deodoro - AL","AL"
"Maribondo - AL","AL"
"Mata Grande - AL","AL"
"Matriz de Camaragibe - AL","AL"
"Messias - AL","AL"
"Minador do Negrão - AL","AL"
"Monteirópolis - AL","AL"
"Murici - AL","AL"
"Novo Lino - AL","AL"
"Olho d'Água das Flores - AL","AL"
"Olho d'Água do Casado - AL","AL"
"Olho d'Água Grande - AL","AL"
"Olivença - AL","AL"
"Ouro Branco - AL","AL"
"Palestina - AL","AL"
"Palmeira dos Índios - AL","AL"
"Pão de Açúcar - AL","AL"
"Pariconha - AL","AL"
"Paripueira - AL","AL"
"Passo de Camaragibe - AL","AL"
"Paulo Jacinto - AL","AL"
"Penedo - AL","AL"
"Piaçabuçu - AL","AL"
"Pilar - AL","AL"
"Pindoba - AL","AL"
"Piranhas - AL","AL"
"Poço das Trincheiras - AL","AL"
"Porto Calvo - AL","AL"
"Porto de Pedras - AL","AL"
"Porto Real do Colégio - AL","AL"
"Quebrangulo - AL","AL"
"Rio Largo - AL","AL"
"Roteiro - AL","AL"
"Santa Luzia do Norte - AL","AL"
"Santana do Ipanema - AL","AL"
"Santana do Mundaú - AL","AL"
"São Brás - AL","AL"
"São José da Laje - AL","AL"
"São José da Tapera - AL","AL"
"São Luís do Quitunde - AL","AL"
"São Miguel dos Campos - AL","AL"
"São Miguel dos Milagres - AL","AL"
"São Sebastião - AL","AL"
"Satuba - AL","AL"
"Senador Rui Palmeira - AL","AL"
"Tanque d'Arca - AL","AL"
"Taquarana - AL","AL"
"Teotônio Vilela - AL","AL"
"Traipu - AL","AL"
"União dos Palmares - AL","AL"
"Viçosa - AL","AL"
"Alvarães - AM","AM"
"Amaturá - AM","AM"
"Anamã - AM","AM"
"Anori - AM","AM"
"Apuí - AM","AM"
"Atalaia do Norte - AM","AM"
"Autazes - AM","AM"
"Barcelos - AM","AM"
"Barreirinha - AM","AM"
"Benjamin Constant - AM","AM"
"Beruri - AM","AM"
"Boa Vista do Ramos - AM","AM"
"Boca do Acre - AM","AM"
"Borba - AM","AM"
"Caapiranga - AM","AM"
"Canutama - AM","AM"
"Carauari - AM","AM"
"Careiro - AM","AM"
"Careiro da Várzea - AM","AM"
"Coari - AM","AM"
"Codajás - AM","AM"
"Eirunepé - AM","AM"
"Envira - AM","AM"
"Fonte Boa - AM","AM"
"Guajará - AM","AM"
"Humaitá - AM","AM"
"Ipixuna - AM","AM"
"Iranduba - AM","AM"
"Itacoatiara - AM","AM"
"Itamarati - AM","AM"
"Itapiranga - AM","AM"
"Japurá - AM","AM"
"Juruá - AM","AM"
"Jutaí - AM","AM"
"Lábrea - AM","AM"
"Manacapuru - AM","AM"
"Manaquiri - AM","AM"
"Manaus - AM","AM"
"Manicoré - AM","AM"
"Maraã - AM","AM"
"Maués - AM","AM"
"Nhamundá - AM","AM"
"Nova Olinda do Norte - AM","AM"
"Novo Airão - AM","AM"
"Novo Aripuanã - AM","AM"
"Parintins - AM","AM"
"Pauini - AM","AM"
"Presidente Figueiredo - AM","AM"
"Rio Preto da Eva - AM","AM"
"Santa Isabel do Rio Negro - AM","AM"
"Santo Antônio do Içá - AM","AM"
"São Gabriel da Cachoeira - AM","AM"
"São Paulo de Olivença - AM","AM"
"São Sebastião do Uatumã - AM","AM"
"Silves - AM","AM"
"Tabatinga - AM","AM"
"Tapauá - AM","AM"
"Tefé - AM","AM"
"Tonantins - AM","AM"
"Uarini - AM","AM"
"Urucará - AM","AM"
"Urucurituba - AM","AM"
"Amapá - AP","AP"
"Calçoene - AP","AP"
"Cutias - AP","AP"
"Ferreira Gomes - AP","AP"
"Itaubal - AP","AP"
"Laranjal do Jari - AP","AP"
"Macapá - AP","AP"
"Mazagão - AP","AP"
"Oiapoque - AP","AP"
"Pedra Branca do Amapari - AP","AP"
"Porto Grande - AP","AP"
"Pracuúba - AP","AP"
"Santana - AP","AP"
"Serra do Navio - AP","AP"
"Tartarugalzinho - AP","AP"
"Vitória do Jari - AP","AP"
"Abaíra - BA","BA"
"Abaré - BA","BA"
"Acajutiba - BA","BA"
"Adustina - BA","BA"
"Água Fria - BA","BA"
"Aiquara - BA","BA"
"Alagoinhas - BA","BA"
"Alcobaça - BA","BA"
"Almadina - BA","BA"
"Amargosa - BA","BA"
"Amélia Rodrigues - BA","BA"
"América Dourada - BA","BA"
"Anagé - BA","BA"
"Andaraí - BA","BA"
"Andorinha - BA","BA"
"Angical - BA","BA"
"Anguera - BA","BA"
"Antas - BA","BA"
"Antônio Cardoso - BA","BA"
"Antônio Gonçalves - BA","BA"
"Aporá - BA","BA"
"Apuarema - BA","BA"
"Araças - BA","BA"
"Aracatu - BA","BA"
"Araci - BA","BA"
"Aramari - BA","BA"
"Arataca - BA","BA"
"Aratuípe - BA","BA"
"Aurelino Leal - BA","BA"
"Baianópolis - BA","BA"
"Baixa Grande - BA","BA"
"Banzaê - BA","BA"
"Barra - BA","BA"
"Barra da Estiva - BA","BA"
"Barra do Choça - BA","BA"
"Barra do Mendes - BA","BA"
"Barra do Rocha - BA","BA"
"Barreiras - BA","BA"
"Barro Alto - BA","BA"
"Barro Preto - BA","BA"
"Barrocas - BA","BA"
"Barrocas - BA","BA"
"Belmonte - BA","BA"
"Belo Campo - BA","BA"
"Biritinga - BA","BA"
"Boa Nova - BA","BA"
"Boa Vista do Tupim - BA","BA"
"Bom Jesus da Lapa - BA","BA"
"Bom Jesus da Serra - BA","BA"
"Boninal - BA","BA"
"Bonito - BA","BA"
"Boquira - BA","BA"
"Botuporã - BA","BA"
"Brejões - BA","BA"
"Brejolândia - BA","BA"
"Brotas de Macaúbas - BA","BA"
"Brumado - BA","BA"
"Buerarema - BA","BA"
"Buritirama - BA","BA"
"Caatiba - BA","BA"
"Cabaceiras do Paraguaçu - BA","BA"
"Cachoeira - BA","BA"
"Caculé - BA","BA"
"Caém - BA","BA"
"Caetanos - BA","BA"
"Caetité - BA","BA"
"Cafarnaum - BA","BA"
"Cairu - BA","BA"
"Caldeirão Grande - BA","BA"
"Camacan - BA","BA"
"Camaçari - BA","BA"
"Camamu - BA","BA"
"Campo Alegre de Lourdes - BA","BA"
"Campo Formoso - BA","BA"
"Canápolis - BA","BA"
"Canarana - BA","BA"
"Canavieiras - BA","BA"
"Candeal - BA","BA"
"Candeias - BA","BA"
"Candiba - BA","BA"
"Cândido Sales - BA","BA"
"Cansanção - BA","BA"
"Canudos - BA","BA"
"Capela do Alto Alegre - BA","BA"
"Capim Grosso - BA","BA"
"Caraíbas - BA","BA"
"Caravelas - BA","BA"
"Cardeal da Silva - BA","BA"
"Carinhanha - BA","BA"
"Casa Nova - BA","BA"
"Castro Alves - BA","BA"
"Catolândia - BA","BA"
"Catu - BA","BA"
"Caturama - BA","BA"
"Central - BA","BA"
"Chorrochó - BA","BA"
"Cícero Dantas - BA","BA"
"Cipó - BA","BA"
"Coaraci - BA","BA"
"Cocos - BA","BA"
"Conceição da Feira - BA","BA"
"Conceição do Almeida - BA","BA"
"Conceição do Coité - BA","BA"
"Conceição do Jacuípe - BA","BA"
"Conde - BA","BA"
"Condeúba - BA","BA"
"Contendas do Sincorá - BA","BA"
"Coração de Maria - BA","BA"
"Cordeiros - BA","BA"
"Coribe - BA","BA"
"Coronel João Sá - BA","BA"
"Correntina - BA","BA"
"Cotegipe - BA","BA"
"Cravolândia - BA","BA"
"Crisópolis - BA","BA"
"Cristópolis - BA","BA"
"Cruz das Almas - BA","BA"
"Curaçá - BA","BA"
"Dário Meira - BA","BA"
"Dias d'Ávila - BA","BA"
"Dom Basílio - BA","BA"
"Dom Macedo Costa - BA","BA"
"Elísio Medrado - BA","BA"
"Encruzilhada - BA","BA"
"Entre Rios - BA","BA"
"Érico Cardoso - BA","BA"
"Esplanada - BA","BA"
"Euclides da Cunha - BA","BA"
"Eunápolis - BA","BA"
"Fátima - BA","BA"
"Feira da Mata - BA","BA"
"Feira de Santana - BA","BA"
"Filadélfia - BA","BA"
"Firmino Alves - BA","BA"
"Floresta Azul - BA","BA"
"Formosa do Rio Preto - BA","BA"
"Gandu - BA","BA"
"Gavião - BA","BA"
"Gentio do Ouro - BA","BA"
"Glória - BA","BA"
"Gongogi - BA","BA"
"Governador Mangabeira - BA","BA"
"Guajeru - BA","BA"
"Guanambi - BA","BA"
"Guaratinga - BA","BA"
"Heliópolis - BA","BA"
"Iaçu - BA","BA"
"Ibiassucê - BA","BA"
"Ibicaraí - BA","BA"
"Ibicoara - BA","BA"
"Ibicuí - BA","BA"
"Ibipeba - BA","BA"
"Ibipitanga - BA","BA"
"Ibiquera - BA","BA"
"Ibirapitanga - BA","BA"
"Ibirapuã - BA","BA"
"Ibirataia - BA","BA"
"Ibitiara - BA","BA"
"Ibititá - BA","BA"
"Ibotirama - BA","BA"
"Ichu - BA","BA"
"Igaporã - BA","BA"
"Igrapiúna - BA","BA"
"Iguaí - BA","BA"
"Ilhéus - BA","BA"
"Inhambupe - BA","BA"
"Ipecaetá - BA","BA"
"Ipiaú - BA","BA"
"Ipirá - BA","BA"
"Ipupiara - BA","BA"
"Irajuba - BA","BA"
"Iramaia - BA","BA"
"Iraquara - BA","BA"
"Irará - BA","BA"
"Irecê - BA","BA"
"Itabela - BA","BA"
"Itaberaba - BA","BA"
"Itabuna - BA","BA"
"Itacaré - BA","BA"
"Itaeté - BA","BA"
"Itagi - BA","BA"
"Itagibá - BA","BA"
"Itagimirim - BA","BA"
"Itaguaçu da Bahia - BA","BA"
"Itaju do Colônia - BA","BA"
"Itajuípe - BA","BA"
"Itamaraju - BA","BA"
"Itamari - BA","BA"
"Itambé - BA","BA"
"Itanagra - BA","BA"
"Itanhém - BA","BA"
"Itaparica - BA","BA"
"Itapé - BA","BA"
"Itapebi - BA","BA"
"Itapetinga - BA","BA"
"Itapicuru - BA","BA"
"Itapitanga - BA","BA"
"Itaquara - BA","BA"
"Itarantim - BA","BA"
"Itatim - BA","BA"
"Itiruçu - BA","BA"
"Itiúba - BA","BA"
"Itororó - BA","BA"
"Ituaçu - BA","BA"
"Ituberá - BA","BA"
"Iuiú - BA","BA"
"Jaborandi - BA","BA"
"Jacaraci - BA","BA"
"Jacobina - BA","BA"
"Jaguaquara - BA","BA"
"Jaguarari - BA","BA"
"Jaguaripe - BA","BA"
"Jandaíra - BA","BA"
"Jequié - BA","BA"
"Jeremoabo - BA","BA"
"Jiquiriçá - BA","BA"
"Jitaúna - BA","BA"
"João Dourado - BA","BA"
"Juazeiro - BA","BA"
"Jucuruçu - BA","BA"
"Jussara - BA","BA"
"Jussari - BA","BA"
"Jussiape - BA","BA"
"Lafaiete Coutinho - BA","BA"
"Lagoa Real - BA","BA"
"Laje - BA","BA"
"Lajedão - BA","BA"
"Lajedinho - BA","BA"
"Lajedo do Tabocal - BA","BA"
"Lamarão - BA","BA"
"Lapão - BA","BA"
"Lauro de Freitas - BA","BA"
"Lençóis - BA","BA"
"Licínio de Almeida - BA","BA"
"Livramento de Nossa Senhora - BA","BA"
"Luís Eduardo Magalhães - BA","BA"
"Macajuba - BA","BA"
"Macarani - BA","BA"
"Macaúbas - BA","BA"
"Macururé - BA","BA"
"Madre de Deus - BA","BA"
"Maetinga - BA","BA"
"Maiquinique - BA","BA"
"Mairi - BA","BA"
"Malhada - BA","BA"
"Malhada de Pedras - BA","BA"
"Manoel Vitorino - BA","BA"
"Mansidão - BA","BA"
"Maracás - BA","BA"
"Maragogipe - BA","BA"
"Maraú - BA","BA"
"Marcionílio Souza - BA","BA"
"Mascote - BA","BA"
"Mata de São João - BA","BA"
"Matina - BA","BA"
"Medeiros Neto - BA","BA"
"Miguel Calmon - BA","BA"
"Milagres - BA","BA"
"Mirangaba - BA","BA"
"Mirante - BA","BA"
"Monte Santo - BA","BA"
"Morpará - BA","BA"
"Morro do Chapéu - BA","BA"
"Mortugaba - BA","BA"
"Mucugê - BA","BA"
"Mucuri - BA","BA"
"Mulungu do Morro - BA","BA"
"Mundo Novo - BA","BA"
"Muniz Ferreira - BA","BA"
"Muquém de São Francisco - BA","BA"
"Muritiba - BA","BA"
"Mutuípe - BA","BA"
"Nazaré - BA","BA"
"Nilo Peçanha - BA","BA"
"Nordestina - BA","BA"
"Nova Canaã - BA","BA"
"Nova Fátima - BA","BA"
"Nova Ibiá - BA","BA"
"Nova Itarana - BA","BA"
"Nova Redenção - BA","BA"
"Nova Soure - BA","BA"
"Nova Viçosa - BA","BA"
"Novo Horizonte - BA","BA"
"Novo Triunfo - BA","BA"
"Olindina - BA","BA"
"Oliveira dos Brejinhos - BA","BA"
"Ouriçangas - BA","BA"
"Ourolândia - BA","BA"
"Palmas de Monte Alto - BA","BA"
"Palmeiras - BA","BA"
"Paramirim - BA","BA"
"Paratinga - BA","BA"
"Paripiranga - BA","BA"
"Pau Brasil - BA","BA"
"Paulo Afonso - BA","BA"
"Pé de Serra - BA","BA"
"Pedrão - BA","BA"
"Pedro Alexandre - BA","BA"
"Piatã - BA","BA"
"Pilão Arcado - BA","BA"
"Pindaí - BA","BA"
"Pindobaçu - BA","BA"
"Pintadas - BA","BA"
"Piraí do Norte - BA","BA"
"Piripá - BA","BA"
"Piritiba - BA","BA"
"Planaltino - BA","BA"
"Planalto - BA","BA"
"Poções - BA","BA"
"Pojuca - BA","BA"
"Ponto Novo - BA","BA"
"Porto Seguro - BA","BA"
"Potiraguá - BA","BA"
"Prado - BA","BA"
"Presidente Dutra - BA","BA"
"Presidente Jânio Quadros - BA","BA"
"Presidente Tancredo Neves - BA","BA"
"Queimadas - BA","BA"
"Quijingue - BA","BA"
"Quixabeira - BA","BA"
"Rafael Jambeiro - BA","BA"
"Remanso - BA","BA"
"Retirolândia - BA","BA"
"Riachão das Neves - BA","BA"
"Riachão do Jacuípe - BA","BA"
"Riacho de Santana - BA","BA"
"Ribeira do Amparo - BA","BA"
"Ribeira do Pombal - BA","BA"
"Ribeirão do Largo - BA","BA"
"Rio de Contas - BA","BA"
"Rio do Antônio - BA","BA"
"Rio do Pires - BA","BA"
"Rio Real - BA","BA"
"Rodelas - BA","BA"
"Ruy Barbosa - BA","BA"
"Salinas da Margarida - BA","BA"
"Salvador - BA","BA"
"Santa Bárbara - BA","BA"
"Santa Brígida - BA","BA"
"Santa Cruz Cabrália - BA","BA"
"Santa Cruz da Vitória - BA","BA"
"Santa Inês - BA","BA"
"Santa Luzia - BA","BA"
"Santa Maria da Vitória - BA","BA"
"Santa Rita de Cássia - BA","BA"
"Santa Teresinha - BA","BA"
"Santaluz - BA","BA"
"Santana - BA","BA"
"Santanópolis - BA","BA"
"Santo Amaro - BA","BA"
"Santo Antônio de Jesus - BA","BA"
"Santo Estêvão - BA","BA"
"São Desidério - BA","BA"
"São Domingos - BA","BA"
"São Felipe - BA","BA"
"São Félix - BA","BA"
"São Félix do Coribe - BA","BA"
"São Francisco do Conde - BA","BA"
"São Gabriel - BA","BA"
"São Gonçalo dos Campos - BA","BA"
"São José da Vitória - BA","BA"
"São José do Jacuípe - BA","BA"
"São Miguel das Matas - BA","BA"
"São Sebastião do Passé - BA","BA"
"Sapeaçu - BA","BA"
"Sátiro Dias - BA","BA"
"Saubara - BA","BA"
"Saúde - BA","BA"
"Seabra - BA","BA"
"Sebastião Laranjeiras - BA","BA"
"Senhor do Bonfim - BA","BA"
"Sento Sé - BA","BA"
"Serra do Ramalho - BA","BA"
"Serra Dourada - BA","BA"
"Serra Preta - BA","BA"
"Serrinha - BA","BA"
"Serrolândia - BA","BA"
"Simões Filho - BA","BA"
"Sítio do Mato - BA","BA"
"Sítio do Quinto - BA","BA"
"Sobradinho - BA","BA"
"Souto Soares - BA","BA"
"Tabocas do Brejo Velho - BA","BA"
"Tanhaçu - BA","BA"
"Tanque Novo - BA","BA"
"Tanquinho - BA","BA"
"Taperoá - BA","BA"
"Tapiramutá - BA","BA"
"Teixeira de Freitas - BA","BA"
"Teodoro Sampaio - BA","BA"
"Teofilândia - BA","BA"
"Teolândia - BA","BA"
"Terra Nova - BA","BA"
"Tremedal - BA","BA"
"Tucano - BA","BA"
"Uauá - BA","BA"
"Ubaíra - BA","BA"
"Ubaitaba - BA","BA"
"Ubatã - BA","BA"
"Uibaí - BA","BA"
"Umburanas - BA","BA"
"Una - BA","BA"
"Urandi - BA","BA"
"Uruçuca - BA","BA"
"Utinga - BA","BA"
"Valença - BA","BA"
"Valente - BA","BA"
"Várzea da Roça - BA","BA"
"Várzea do Poço - BA","BA"
"Várzea Nova - BA","BA"
"Varzedo - BA","BA"
"Vera Cruz - BA","BA"
"Vereda - BA","BA"
"Vitória da Conquista - BA","BA"
"Wagner - BA","BA"
"Wanderley - BA","BA"
"Wenceslau Guimarães - BA","BA"
"Xique-Xique - BA","BA"
"Abaiara - CE","CE"
"Acarapé - CE","CE"
"Acaraú - CE","CE"
"Acopiara - CE","CE"
"Aiuaba - CE","CE"
"Alcântaras - CE","CE"
"Altaneira - CE","CE"
"Alto Santo - CE","CE"
"Amontada - CE","CE"
"Antonina do Norte - CE","CE"
"Apuiarés - CE","CE"
"Aquiraz - CE","CE"
"Aracati - CE","CE"
"Aracoiaba - CE","CE"
"Ararendá - CE","CE"
"Araripe - CE","CE"
"Aratuba - CE","CE"
"Arneiroz - CE","CE"
"Assaré - CE","CE"
"Aurora - CE","CE"
"Baixio - CE","CE"
"Banabuiú - CE","CE"
"Barbalha - CE","CE"
"Barreira - CE","CE"
"Barro - CE","CE"
"Barroquinha - CE","CE"
"Baturité - CE","CE"
"Beberibe - CE","CE"
"Bela Cruz - CE","CE"
"Boa Viagem - CE","CE"
"Brejo Santo - CE","CE"
"Camocim - CE","CE"
"Campos Sales - CE","CE"
"Canindé - CE","CE"
"Capistrano - CE","CE"
"Caridade - CE","CE"
"Cariré - CE","CE"
"Caririaçu - CE","CE"
"Cariús - CE","CE"
"Carnaubal - CE","CE"
"Cascavel - CE","CE"
"Catarina - CE","CE"
"Catunda - CE","CE"
"Caucaia - CE","CE"
"Cedro - CE","CE"
"Chaval - CE","CE"
"Choró - CE","CE"
"Chorozinho - CE","CE"
"Coreaú - CE","CE"
"Crateús - CE","CE"
"Crato - CE","CE"
"Croatá - CE","CE"
"Cruz - CE","CE"
"Deputado Irapuan Pinheiro - CE","CE"
"Ererê - CE","CE"
"Eusébio - CE","CE"
"Farias Brito - CE","CE"
"Forquilha - CE","CE"
"Fortaleza - CE","CE"
"Fortim - CE","CE"
"Frecheirinha - CE","CE"
"General Sampaio - CE","CE"
"Graça - CE","CE"
"Granja - CE","CE"
"Granjeiro - CE","CE"
"Groaíras - CE","CE"
"Guaiúba - CE","CE"
"Guaraciaba do Norte - CE","CE"
"Guaramiranga - CE","CE"
"Hidrolândia - CE","CE"
"Horizonte - CE","CE"
"Ibaretama - CE","CE"
"Ibiapina - CE","CE"
"Ibicuitinga - CE","CE"
"Icapuí - CE","CE"
"Icó - CE","CE"
"Iguatu - CE","CE"
"Independência - CE","CE"
"Ipaporanga - CE","CE"
"Ipaumirim - CE","CE"
"Ipu - CE","CE"
"Ipueiras - CE","CE"
"Iracema - CE","CE"
"Irauçuba - CE","CE"
"Itaiçaba - CE","CE"
"Itaitinga - CE","CE"
"Itapajé - CE","CE"
"Itapipoca - CE","CE"
"Itapiúna - CE","CE"
"Itarema - CE","CE"
"Itatira - CE","CE"
"Jaguaretama - CE","CE"
"Jaguaribara - CE","CE"
"Jaguaribe - CE","CE"
"Jaguaruana - CE","CE"
"Jardim - CE","CE"
"Jati - CE","CE"
"Jijoca de Jericoacoara - CE","CE"
"Juazeiro do Norte - CE","CE"
"Jucás - CE","CE"
"Lavras da Mangabeira - CE","CE"
"Limoeiro do Norte - CE","CE"
"Madalena - CE","CE"
"Maracanaú - CE","CE"
"Maranguape - CE","CE"
"Marco - CE","CE"
"Martinópole - CE","CE"
"Massapê - CE","CE"
"Mauriti - CE","CE"
"Meruoca - CE","CE"
"Milagres - CE","CE"
"Milhã - CE","CE"
"Miraíma - CE","CE"
"Missão Velha - CE","CE"
"Mombaça - CE","CE"
"Monsenhor Tabosa - CE","CE"
"Morada Nova - CE","CE"
"Moraújo - CE","CE"
"Morrinhos - CE","CE"
"Mucambo - CE","CE"
"Mulungu - CE","CE"
"Nova Olinda - CE","CE"
"Nova Russas - CE","CE"
"Novo Oriente - CE","CE"
"Ocara - CE","CE"
"Orós - CE","CE"
"Pacajus - CE","CE"
"Pacatuba - CE","CE"
"Pacoti - CE","CE"
"Pacujá - CE","CE"
"Palhano - CE","CE"
"Palmácia - CE","CE"
"Paracuru - CE","CE"
"Paraipaba - CE","CE"
"Parambu - CE","CE"
"Paramoti - CE","CE"
"Pedra Branca - CE","CE"
"Penaforte - CE","CE"
"Pentecoste - CE","CE"
"Pereiro - CE","CE"
"Pindoretama - CE","CE"
"Piquet Carneiro - CE","CE"
"Pires Ferreira - CE","CE"
"Poranga - CE","CE"
"Porteiras - CE","CE"
"Potengi - CE","CE"
"Potiretama - CE","CE"
"Quiterianópolis - CE","CE"
"Quixadá - CE","CE"
"Quixelô - CE","CE"
"Quixeramobim - CE","CE"
"Quixeré - CE","CE"
"Redenção - CE","CE"
"Reriutaba - CE","CE"
"Russas - CE","CE"
"Saboeiro - CE","CE"
"Salitre - CE","CE"
"Santa Quitéria - CE","CE"
"Santana do Acaraú - CE","CE"
"Santana do Cariri - CE","CE"
"São Benedito - CE","CE"
"São Gonçalo do Amarante - CE","CE"
"São João do Jaguaribe - CE","CE"
"São Luís do Curu - CE","CE"
"Senador Pompeu - CE","CE"
"Senador Sá - CE","CE"
"Sobral - CE","CE"
"Solonópole - CE","CE"
"Tabuleiro do Norte - CE","CE"
"Tamboril - CE","CE"
"Tarrafas - CE","CE"
"Tauá - CE","CE"
"Tejuçuoca - CE","CE"
"Tianguá - CE","CE"
"Trairi - CE","CE"
"Tururu - CE","CE"
"Ubajara - CE","CE"
"Umari - CE","CE"
"Umirim - CE","CE"
"Uruburetama - CE","CE"
"Uruoca - CE","CE"
"Varjota - CE","CE"
"Várzea Alegre - CE","CE"
"Viçosa do Ceará - CE","CE"
"Brasília - DF","DF"
"Afonso Cláudio - ES","ES"
"Água Doce do Norte - ES","ES"
"Águia Branca - ES","ES"
"Alegre - ES","ES"
"Alfredo Chaves - ES","ES"
"Alto Rio Novo - ES","ES"
"Anchieta - ES","ES"
"Apiacá - ES","ES"
"Aracruz - ES","ES"
"Atilio Vivacqua - ES","ES"
"Baixo Guandu - ES","ES"
"Barra de São Francisco - ES","ES"
"Boa Esperança - ES","ES"
"Bom Jesus do Norte - ES","ES"
"Brejetuba - ES","ES"
"Cachoeiro de Itapemirim - ES","ES"
"Cariacica - ES","ES"
"Castelo - ES","ES"
"Colatina - ES","ES"
"Conceição da Barra - ES","ES"
"Conceição do Castelo - ES","ES"
"Divino de São Lourenço - ES","ES"
"Domingos Martins - ES","ES"
"Dores do Rio Preto - ES","ES"
"Ecoporanga - ES","ES"
"Fundão - ES","ES"
"Governador Lindenberg - ES","ES"
"Guaçuí - ES","ES"
"Guarapari - ES","ES"
"Ibatiba - ES","ES"
"Ibiraçu - ES","ES"
"Ibitirama - ES","ES"
"Iconha - ES","ES"
"Irupi - ES","ES"
"Itaguaçu - ES","ES"
"Itapemirim - ES","ES"
"Itarana - ES","ES"
"Iúna - ES","ES"
"Jaguaré - ES","ES"
"Jerônimo Monteiro - ES","ES"
"João Neiva - ES","ES"
"Laranja da Terra - ES","ES"
"Linhares - ES","ES"
"Mantenópolis - ES","ES"
"Marataízes - ES","ES"
"Marechal Floriano - ES","ES"
"Marilândia - ES","ES"
"Mimoso do Sul - ES","ES"
"Montanha - ES","ES"
"Mucurici - ES","ES"
"Muniz Freire - ES","ES"
"Muqui - ES","ES"
"Nova Venécia - ES","ES"
"Pancas - ES","ES"
"Pedro Canário - ES","ES"
"Pinheiros - ES","ES"
"Piúma - ES","ES"
"Ponto Belo - ES","ES"
"Presidente Kennedy - ES","ES"
"Rio Bananal - ES","ES"
"Rio Novo do Sul - ES","ES"
"Santa Leopoldina - ES","ES"
"Santa Maria de Jetibá - ES","ES"
"Santa Teresa - ES","ES"
"São Domingos do Norte - ES","ES"
"São Gabriel da Palha - ES","ES"
"São José do Calçado - ES","ES"
"São Mateus - ES","ES"
"São Roque do Canaã - ES","ES"
"Serra - ES","ES"
"Sooretama - ES","ES"
"Vargem Alta - ES","ES"
"Venda Nova do Imigrante - ES","ES"
"Viana - ES","ES"
"Vila Pavão - ES","ES"
"Vila Valério - ES","ES"
"Vila Velha - ES","ES"
"Vitória - ES","ES"
"Exterior - EX","EX"
"Abadia de Goiás - GO","GO"
"Abadiânia - GO","GO"
"Acreúna - GO","GO"
"Adelândia - GO","GO"
"Água Fria de Goiás - GO","GO"
"Água Limpa - GO","GO"
"Águas Lindas de Goiás - GO","GO"
"Alexânia - GO","GO"
"Aloândia - GO","GO"
"Alto Horizonte - GO","GO"
"Alto Paraíso de Goiás - GO","GO"
"Alvorada do Norte - GO","GO"
"Amaralina - GO","GO"
"Americano do Brasil - GO","GO"
"Amorinópolis - GO","GO"
"Anápolis - GO","GO"
"Anhanguera - GO","GO"
"Anicuns - GO","GO"
"Aparecida de Goiânia - GO","GO"
"Aparecida do Rio Doce - GO","GO"
"Aporé - GO","GO"
"Araçu - GO","GO"
"Aragarças - GO","GO"
"Aragoiânia - GO","GO"
"Araguapaz - GO","GO"
"Arenópolis - GO","GO"
"Aruanã - GO","GO"
"Aurilândia - GO","GO"
"Avelinópolis - GO","GO"
